pEpYffHCrDpiKf-D5GB_Pw,0,1.
pEpYffHCrDpiKf-D5GB_Pw,1,Great wanton noodles!
pEpYffHCrDpiKf-D5GB_Pw,2,$3.80 - 4.30 - Warning: the chilli is really spicy!
pEpYffHCrDpiKf-D5GB_Pw,3,so you might wanna stick to just the black bean sauce or may ask them to put less.
pEpYffHCrDpiKf-D5GB_Pw,4,- The wanton ares great but the cha sew needs works.
pEpYffHCrDpiKf-D5GB_Pw,5,It doesn't taste as fresh and looks a tad but dark.
pEpYffHCrDpiKf-D5GB_Pw,6,Dubious color.
pEpYffHCrDpiKf-D5GB_Pw,7,2.
pEpYffHCrDpiKf-D5GB_Pw,8,Fried wantons $3.80 - So crispy!
pEpYffHCrDpiKf-D5GB_Pw,9,love it.
pEpYffHCrDpiKf-D5GB_Pw,10,People order these by the dozens.
pEpYffHCrDpiKf-D5GB_Pw,11,It's a really no fuss place.
pEpYffHCrDpiKf-D5GB_Pw,12,Kinda like a hawker centre/ food court.
pEpYffHCrDpiKf-D5GB_Pw,13,"The sitting area is casual, maybe even a little cramp."
pEpYffHCrDpiKf-D5GB_Pw,14,***NOTE: I found the exact same noodles at Serangoon gardens (not chomp chomp but the other hawker centre.
pEpYffHCrDpiKf-D5GB_Pw,15,there are 2 located there.)
pEpYffHCrDpiKf-D5GB_Pw,16,"Anyways, it serves exactly the same tasting wanton noodles and wantons (I am not sure if they are related) but the prices are much cheaper there since it's not air-conditioned."
pEpYffHCrDpiKf-D5GB_Pw,17,$3 a bowl and $3 a plate of fried wanton.
OXs3eP48xFTmo7ZQy0OnCg,0,This is a great location that falls just between the chaos of Vivo City and Sentosa.
OXs3eP48xFTmo7ZQy0OnCg,1,This is a new location for Brewerkz that has been placed alongside the veteran wine restaurant next door on the waterside boardwalk.
OXs3eP48xFTmo7ZQy0OnCg,2,"On a Saturday night, the crowd was modest."
OXs3eP48xFTmo7ZQy0OnCg,3,The outdoor seating along the waterside offered an impressively relaxed and intimate dining area.
OXs3eP48xFTmo7ZQy0OnCg,4,This is a great place to escape the massive crowds that surround either side of the boardwalk.
OXs3eP48xFTmo7ZQy0OnCg,5,"On top of that, Brewerkz's food is of higher quality than your typical bar."
OXs3eP48xFTmo7ZQy0OnCg,6,We tried the pizza and salmon salad and both were excellent.
OXs3eP48xFTmo7ZQy0OnCg,7,I've also had a great bbq burger in the past.
OXs3eP48xFTmo7ZQy0OnCg,8,"Nevertheless, their specialty is drinks, so you can expect a large selection of many varieties, especially custom beers."
OXs3eP48xFTmo7ZQy0OnCg,9,The service was attentive and friendly.
OXs3eP48xFTmo7ZQy0OnCg,10,"I recommend this location after a crowded day at Sentosa or Vivo City, where you can get some rest."
sfn5GDgEH5nxzE7V5XerRA,0,Want a great location for an evening meal?
sfn5GDgEH5nxzE7V5XerRA,1,You can't go wrong with Brewerkz located in the middle of Sentosa Boardwalk.
sfn5GDgEH5nxzE7V5XerRA,2,We chanced upon it while walking back to mainland after a day in USS.
sfn5GDgEH5nxzE7V5XerRA,3,"Despite my headache, I agreed to 'seize the moment' and stayed in to have a few beers and snacks."
sfn5GDgEH5nxzE7V5XerRA,4,"The drinks were the same as you would get in bars anywhere else and not exceptional (about 16 for a beer), though some of them are from their own microbrewery."
sfn5GDgEH5nxzE7V5XerRA,5,The snacks were also unexceptional but definitely satisfactory.
sfn5GDgEH5nxzE7V5XerRA,6,"The onion rings were $9 for a fairly large basket, and desserts of brownie with ice cream and bread pudding with ice cream were $10 each with equally decent portions."
sfn5GDgEH5nxzE7V5XerRA,7,"The best part is the view, which is really what you're paying for."
sfn5GDgEH5nxzE7V5XerRA,8,The sparkling lights on the floor to mimick the night sky above coupled with the serenity of the sea and the distant twinkling of the cable car lights was a simply divine combination.
sfn5GDgEH5nxzE7V5XerRA,9,"At 9pm, we were unexpectedly treated to some sort of light show in the distance of a floating platform in front of Sentosa."
sfn5GDgEH5nxzE7V5XerRA,10,"I'm guessing many already know about this but it looks like two birds fighting and ended off with loads of water, light and fireworks."
sfn5GDgEH5nxzE7V5XerRA,11,"From our location, it was perfect, not too loud or crowded, and with the soft backdrop of the bar music."
sfn5GDgEH5nxzE7V5XerRA,12,We had actually just paid and were about to leave for the bus home but were mesmerised by the fireworks and abstract lights.
sfn5GDgEH5nxzE7V5XerRA,13,"This is a very romantic location to bring a date, or just a laid-back environment to chill with friends."
T3HDo20BRTqN8ix93nVwwg,0,Curiosity killed the cat!
T3HDo20BRTqN8ix93nVwwg,1,Believe Watami was the restaurant before this and they probably revamped it to Nikku Kappo.
T3HDo20BRTqN8ix93nVwwg,2,Thought the raw Sushi concept was interesting so gave it a try.
T3HDo20BRTqN8ix93nVwwg,3,Ordered 3 or 4 varienties of raw beef and i can't say they were totally fresh.
T3HDo20BRTqN8ix93nVwwg,4,Picture speaks for itsself.
T3HDo20BRTqN8ix93nVwwg,5,now the miso beef sukiyai was a big disappointment.
T3HDo20BRTqN8ix93nVwwg,6,The beef provided basically were not eatable.
T3HDo20BRTqN8ix93nVwwg,7,they were chewy in texture and poor cuts of meat.
T3HDo20BRTqN8ix93nVwwg,8,service was fine but again food taste ia supreme so .....
HGVIAeccMx-idr0DQ-Lq8w,0,The restaurant is quite impressive with its signature yaki tetsu.
HGVIAeccMx-idr0DQ-Lq8w,1,The beef was really tender and tasted great with the sauce.
HGVIAeccMx-idr0DQ-Lq8w,2,"However, I would recommend taking away the side dishes that tend to absorb too much sauce, as too much of it really does not taste good."
KgRX-kYs8YgmNfEIeBH-Zw,0,"The food here is indeed unusual, with many  innovative dishes rarely found at Japanese restaurants outside Japan."
KgRX-kYs8YgmNfEIeBH-Zw,1,"The meat sushi is interesting, but I still much prefer the seafood variety."
KgRX-kYs8YgmNfEIeBH-Zw,2,"We also had the Yakitetsu Kobe; the meat is tender, and the miso and foie gras sauce is good but overly rich - it's unusual to feel so bloated after a Japanese meal."
KgRX-kYs8YgmNfEIeBH-Zw,3,"Impressive sake and drinks lists; we were offered a complementary sake mojito, which was notoriously poor."
KgRX-kYs8YgmNfEIeBH-Zw,4,"The staff diligently prepare many dishes at the table, but otherwise are a bit forgetful and not pro-active."
dbEC8f7dFoAJ4b98DXBjNA,0,"I'm typically not a fast food fan, but Mos Burger is one that I do go for on occasion."
dbEC8f7dFoAJ4b98DXBjNA,1,"I like the regular ole cheeseburger, which is basically your classic American fast food burger without any frills."
dbEC8f7dFoAJ4b98DXBjNA,2,"In an ever more complex fast food world, it is ironically tough to get this simple classic."
dbEC8f7dFoAJ4b98DXBjNA,3,"I have also tried one of their more strange creations, which consisted of a salmon patty and a bun made out of sticky rice."
dbEC8f7dFoAJ4b98DXBjNA,4,It was quite tasty and didn't seem like eating fast food at all.
dbEC8f7dFoAJ4b98DXBjNA,5,"So, it seems the Japanese have conquered the American automobile and fast food burger."
dbEC8f7dFoAJ4b98DXBjNA,6,What will they take over next?
dbEC8f7dFoAJ4b98DXBjNA,7,P.S.
dbEC8f7dFoAJ4b98DXBjNA,8,I'm pretty sure I was a direct cause of this location now accepting credit cards.
dbEC8f7dFoAJ4b98DXBjNA,9,"One time, I came by without cash, placed an order, and had to run to the ATM and back."
