,review_id,sentence_id,sentence,sentiment,Rating
0,bux6sb7bKY9IiCQZvlL3eQ,0,Let's just say I enjoy egg tarts a lot from the Hong Kong chain to write another review.,0,1.0
1,bux6sb7bKY9IiCQZvlL3eQ,1,The restaurant in Singapore opened since May 5th and there have been people queuing up for a highly anticipated try out.,1,1.0
2,bux6sb7bKY9IiCQZvlL3eQ,2,The seating is limited so constant queuing is there.,2,1.0
3,bux6sb7bKY9IiCQZvlL3eQ,3,As the staff doesn't make it quicker while they take their time to clean and serve.,2,1.0
4,bux6sb7bKY9IiCQZvlL3eQ,4,I've never seen a single cafe restaurant in Hong Kong with people queuing while empty tables are available for seating.,2,1.0
5,bux6sb7bKY9IiCQZvlL3eQ,5,The management of this establishment must be staging the overwhelming customers for up selling their cafe.,2,1.0
6,bux6sb7bKY9IiCQZvlL3eQ,6,"I've gone up to the staff asking why aren't customers being seated while there are empty tables, they can only replied by walking away in silence.",2,1.0
7,bux6sb7bKY9IiCQZvlL3eQ,7,"Total waiting time, 50 minutes to get seated!",2,1.0
8,bux6sb7bKY9IiCQZvlL3eQ,8,"On with the food, unfortunately, practically everything on the menu was sold out by 4pm!",2,1.0
9,bux6sb7bKY9IiCQZvlL3eQ,9,This is a first for me for a HK cafe.,0,1.0
10,bux6sb7bKY9IiCQZvlL3eQ,10,The milk tea is authentic and the lemon tea is quite true to the original except it was already sweetened.,1,1.0
11,bux6sb7bKY9IiCQZvlL3eQ,11,"Since most items were sold out but egg tarts, I will review what I can, egg tarts.",0,1.0
12,bux6sb7bKY9IiCQZvlL3eQ,12,"Again, there was a waiting time.",2,1.0
13,bux6sb7bKY9IiCQZvlL3eQ,13,"I ordered what I can, limited three per customer.",0,1.0
14,bux6sb7bKY9IiCQZvlL3eQ,14,I've ordered 6 and it was a complete disappointment!,2,1.0
15,bux6sb7bKY9IiCQZvlL3eQ,15,The color of the custard is pale white instead of the rich yellow color and the texture breaks instantaneously as if too much water mixture was used.,1,1.0
16,bux6sb7bKY9IiCQZvlL3eQ,16,The crust int flakey and it's unappetizing.,1,1.0
17,bux6sb7bKY9IiCQZvlL3eQ,17,"And the taste, it isn't HK for sure!",1,1.0
18,bux6sb7bKY9IiCQZvlL3eQ,18,Over all experience a huge disappointment!,2,1.0
19,bux6sb7bKY9IiCQZvlL3eQ,19,Will not return for sure!,2,1.0
20,fqm9inWMvEj6PfviEavMpQ,0,Excellent brunch spot if you have kids.,1,3.0
21,fqm9inWMvEj6PfviEavMpQ,1,"There's a bouncy castle, mini sports and a pretty big field for your kids to play while you enjoy ""adult"" time.",1,3.0
22,fqm9inWMvEj6PfviEavMpQ,2,Not sure if I would come here though if not for the family atmosphere.,2,3.0
23,fqm9inWMvEj6PfviEavMpQ,3,The coffee barista is usually in the weeds so we finish our meal before a drop of caffeine has graced our table.,2,3.0
24,fqm9inWMvEj6PfviEavMpQ,4,The food is okay but it feels like the eggs Benedict needs a little more depth.,2,3.0
25,fqm9inWMvEj6PfviEavMpQ,5,Maybe add an avocado or some more hollandaise.,2,3.0
26,fqm9inWMvEj6PfviEavMpQ,6,Pretty basic fare and ordering from the tablet under the table removes any chance of a mistake from a server.,1,3.0
27,fqm9inWMvEj6PfviEavMpQ,7,Worth giving a try if you're in the area.,1,3.0
28,7pkN5O3rJ4JFcxWXY8uGlw,0,This is a small Japanese restaurant inside a shopping mall near the Holiday Inn on Killiney and Orchard.,0,4.0
29,7pkN5O3rJ4JFcxWXY8uGlw,1,The place have only few tables where you can share a table with others if available.,0,4.0
30,7pkN5O3rJ4JFcxWXY8uGlw,2,"The main focus of the menu leans toward Ramin and other soups, but still they offer some other items as well.",0,4.0
31,7pkN5O3rJ4JFcxWXY8uGlw,3,"The service was to point, friendly and fast.",1,4.0
32,7pkN5O3rJ4JFcxWXY8uGlw,4,The food was plenty and delicious.,1,4.0
33,7pkN5O3rJ4JFcxWXY8uGlw,5,Prices were very reasonable considering your are at a higher end of the city.,1,4.0
34,7pkN5O3rJ4JFcxWXY8uGlw,6,"The food as I mentioned was fresh, hot and delicious.",1,4.0
35,7pkN5O3rJ4JFcxWXY8uGlw,7,I just wish they do not use as much MSG as they do (in general in SG).,1,4.0
36,7pkN5O3rJ4JFcxWXY8uGlw,8,"Miso Ramin+++This was huge portions with two slices of pork that was so tender and so tasty, corn, green onions and bean sprouts.",1,4.0
37,7pkN5O3rJ4JFcxWXY8uGlw,9,S$13 Chicken Kar age+++Crispy fried chicken pieces served with sauce.,0,4.0
38,7pkN5O3rJ4JFcxWXY8uGlw,10,S$6 Age Gyoza+++Deep fried Gyoza filled with pork.,0,4.0
39,7pkN5O3rJ4JFcxWXY8uGlw,11,It was OK.,1,4.0
40,7pkN5O3rJ4JFcxWXY8uGlw,12,I noticed everyone else eating the pan fried Gyoza and that is we we should have ordered.,0,4.0
41,7pkN5O3rJ4JFcxWXY8uGlw,13,"S$5 Fried Rice+++It was good, mixed vegetables, eggs stir fried.",1,4.0
42,7pkN5O3rJ4JFcxWXY8uGlw,14,This really a nice spot to have some delicious Ramin.,1,4.0
43,7pkN5O3rJ4JFcxWXY8uGlw,15,They are open until 12 midnight.,0,4.0
44,I-VLRZVD2mpZW_mnaho3bQ,0,"I was taken here for dinner on a Monday night, and we got here before 7pm so there wasn't a queue.",0,4.0
45,I-VLRZVD2mpZW_mnaho3bQ,1,"There is a promotion where you get 3 rolls for the price of 2, and my companion, by some oversight, ordered the prawn, soft shell crab, and salmon rolls, which all happened to be aburi-ed.",1,4.0
